app_id,app_name,1,2,3,4,5
ai.character.app,AI Chat,894,72,52,20,72
com.apple.atve.sony.appletv,Apple TV,341,59,31,26,71
com.bigwinepot.nwdn.international,Remini,227,22,16,23,133
com.canva.editor,Canva:AI,54,21,31,75,323
com.duolingo,Duolingo,66,22,34,117,547
com.flyersoft.moonreaderp,Moon+Reader Pro,160,88,129,207,527
com.google.android.youtube,YouTube,245,35,28,26,240
com.qidian.Int.reader,WebNovel,152,53,87,195,464
com.twitter.android,X,530,39,38,48,220
com.zhiliaoapp.musically,TikTok,374,42,43,36,253
jp.ne.ibis.ibispaint.app,ibis Paint,120,49,83,148,578
net.mbc.shahidTV,MBC Shahid,163,23,12,7,37
org.telegram.messenger,Telegram,321,34,30,29,240
voicerecorder.audiorecorder.voice,Voice Recorder Audio Sound MP3,33,10,11,33,600
