app_id,app_name,rows,mean_score,mean_len
com.flyersoft.moonreaderp,Moon+Reader Pro,1111,3.767776777677768,206.997299729973
ai.character.app,AI Chat,1110,1.4720720720720721,198.9918918918919
jp.ne.ibis.ibispaint.app,ibis Paint,978,4.0378323108384455,147.37218813905932
com.qidian.Int.reader,WebNovel,951,3.8054679284963195,131.25131440588854
com.twitter.android,X,875,2.3017142857142856,125.02628571428572
com.duolingo,Duolingo,786,4.344783715012722,82.89949109414758
com.zhiliaoapp.musically,TikTok,748,2.6684491978609626,133.46524064171123
voicerecorder.audiorecorder.voice,Voice Recorder Audio Sound MP3,687,4.6841339155749635,70.64046579330422
org.telegram.messenger,Telegram,654,2.7446483180428136,104.56116207951071
com.google.android.youtube,YouTube,574,2.966898954703833,85.17073170731707
com.apple.atve.sony.appletv,Apple TV,528,1.9147727272727273,84.18371212121212
com.canva.editor,Canva:AI,504,4.174603174603175,58.91269841269841
com.bigwinepot.nwdn.international,Remini,421,2.5558194774346794,59.13064133016627
net.mbc.shahidTV,MBC Shahid,242,1.8925619834710743,57.28512396694215
