app_name,score,content,sentiment_keyword,is_inconsistent_rating
Voice Recorder Audio Sound MP3,5,the app Isn't bad,negative,True
Voice Recorder Audio Sound MP3,5,Very useful so far. Ads aren't long at all.,negative,True
Voice Recorder Audio Sound MP3,5,"goated app. It literally does what it says, little to no ads and an easy interface.",negative,True
Voice Recorder Audio Sound MP3,1,"It was fine for a few weeks. Then, when I needed to record something crucial, I started recording. Then I pressed pause. When I clicked resume, it didn't start recording again. I clicked to discard about 20 times. Did not do anything. I clicked Save multiple times, and again, it's not doing anything. It just stuck there. It is not a good app if I can't rely on it.",positive,True
Voice Recorder Audio Sound MP3,2,"I actually really like this app. I love all of the details and all of the features. they are easy to navigate, but I am extremely disappointed that with nearly every recording I have taken there's always this crackling noise that I can't get rid of. and no matter what version of recording I do (standard, music, etc.) there's always this crackling noise. very disappointed.",positive,True
Voice Recorder Audio Sound MP3,1,"it was good for a while, but when I updated the app, it deleted all my past recording. 😡",positive,True
Voice Recorder Audio Sound MP3,5,this app is totally useful. Less ads and longer time to record.,negative,True
Voice Recorder Audio Sound MP3,5,I am new to this Voice Recorder App. It is Pretty Simple to use for Recording My Guitar Leads/Rhythm Mostly along with my Amp with an auxiliary and jack Cord to Record Music. I got Dwayne's Johnson almost finished! I just have to Re-Record because I had Family Guy on and I don't want background noise other than what's being played and Recorded to this App. I rate 5 Stars! Works Really Well for Overall Sound at 25 Decibels and 5 Watts out of My Boss Amplifier. Awesome Music Recorder App!,negative,True
Voice Recorder Audio Sound MP3,4,"Very reasonable on the ads for what feels nice and professional with easy to use features. Haven't worked out editing much but would like to be able to clear gaps and shuffle, cut paste etc. Mark and note in app which can't seem to do easily on mobile.",negative,True
Voice Recorder Audio Sound MP3,4,It is the best recorder I have found for jam sessions and anything else for which I need the raw recording If it weren't for the ads I sometimes have to restart the app for - because they never end - I would give it five stars,negative,True
Voice Recorder Audio Sound MP3,5,"I like recording with this though , but I don't want the audio quality is kind of bad but I still like it",negative,True
Voice Recorder Audio Sound MP3,1,very good app,positive,True
Voice Recorder Audio Sound MP3,5,I seen this on my dads phone and it has lycls,negative,True
Voice Recorder Audio Sound MP3,4,i like this app but it has too much ads,negative,True
Voice Recorder Audio Sound MP3,5,"Simple and functional. The free version has ads, but I'm happy with the ease of use.",negative,True
